"Title","PCName","ExecutionCode","Message","ProcessID","ThreadID","MessageTime","MessageTimeForUsers"
agentless,DAVIDECASTELLAN,1616416363,Created log,18616,19736,1616416363.675261,Mon Mar 22 13:32:43 2021
agentless,DAVIDECASTELLAN,1616416363,Headers inizialized,18616,19736,1616416363.677257,Mon Mar 22 13:32:43 2021
agentless,DAVIDECASTELLAN,1616416388,Created log,23372,8120,1616416388.574418,Mon Mar 22 13:33:08 2021
agentless,DAVIDECASTELLAN,1616416388,Headers inizialized,23372,8120,1616416388.576411,Mon Mar 22 13:33:08 2021
agentless,DAVIDECASTELLAN,1616416444,Created log,18876,12312,1616416444.654568,Mon Mar 22 13:34:04 2021
agentless,DAVIDECASTELLAN,1616416444,Defined CSV files' infos,18876,12312,1616416444.657562,Mon Mar 22 13:34:04 2021
agentless,DAVIDECASTELLAN,1616416444,Headers inizialized,18876,12312,1616416444.656562,Mon Mar 22 13:34:04 2021
agentless,DAVIDECASTELLAN,1616416444,Inizialized CSV files,18876,12312,1616416444.659191,Mon Mar 22 13:34:04 2021
agentless,DAVIDECASTELLAN,1616416689,Created log,21980,8528,1616416689.944212,Mon Mar 22 13:38:09 2021
agentless,DAVIDECASTELLAN,1616416689,Headers inizialized,21980,8528,1616416689.946333,Mon Mar 22 13:38:09 2021
agentless,DAVIDECASTELLAN,1616416689,Defined CSV files' infos,21980,8528,1616416689.94729,Mon Mar 22 13:38:09 2021
agentless,DAVIDECASTELLAN,1616416689,Inizialized CSV files,21980,8528,1616416689.950283,Mon Mar 22 13:38:09 2021
agentless,DAVIDECASTELLAN,1616416716,Created log,29416,29304,1616416716.977099,Mon Mar 22 13:38:36 2021
agentless,DAVIDECASTELLAN,1616416716,Headers inizialized,29416,29304,1616416716.979665,Mon Mar 22 13:38:36 2021
agentless,DAVIDECASTELLAN,1616416716,Defined CSV files' infos,29416,29304,1616416716.980661,Mon Mar 22 13:38:36 2021
agentless,DAVIDECASTELLAN,1616416716,Inizialized CSV files,29416,29304,1616416717.045118,Mon Mar 22 13:38:37 2021
agentless,DAVIDECASTELLAN,1616416841,Created log,23268,23624,1616416841.783889,Mon Mar 22 13:40:41 2021
agentless,DAVIDECASTELLAN,1616416841,Headers inizialized,23268,23624,1616416841.786845,Mon Mar 22 13:40:41 2021
agentless,DAVIDECASTELLAN,1616416841,Defined CSV files' infos,23268,23624,1616416841.812774,Mon Mar 22 13:40:41 2021
agentless,DAVIDECASTELLAN,1616416841,Inizialized CSV files,23268,23624,1616416841.861972,Mon Mar 22 13:40:41 2021
agentless,DAVIDECASTELLAN,1616416841,Ping 192.168.1.0,23268,23624,1616416844.534356,Mon Mar 22 13:40:44 2021
agentless,DAVIDECASTELLAN,1616416887,Created log,19052,25016,1616416887.040015,Mon Mar 22 13:41:27 2021
agentless,DAVIDECASTELLAN,1616416887,Defined CSV files' infos,19052,25016,1616416887.044,Mon Mar 22 13:41:27 2021
agentless,DAVIDECASTELLAN,1616416887,Headers inizialized,19052,25016,1616416887.043003,Mon Mar 22 13:41:27 2021
agentless,DAVIDECASTELLAN,1616416887,Inizialized CSV files,19052,25016,1616416887.101595,Mon Mar 22 13:41:27 2021
agentless,DAVIDECASTELLAN,1616416887,Ping 192.168.1.0,19052,25016,1616416890.03272,Mon Mar 22 13:41:30 2021
agentless,DAVIDECASTELLAN,1616416887,Ping 192.168.1.1,19052,25016,1616416891.529061,Mon Mar 22 13:41:31 2021
agentless,DAVIDECASTELLAN,1616416887,Pinged all,19052,25016,1616416891.530058,Mon Mar 22 13:41:31 2021
agentless,DAVIDECASTELLAN,1616416994,Created log,20408,14248,1616416994.359941,Mon Mar 22 13:43:14 2021
agentless,DAVIDECASTELLAN,1616416994,Headers inizialized,20408,14248,1616416994.36293,Mon Mar 22 13:43:14 2021
agentless,DAVIDECASTELLAN,1616416994,Defined CSV files' infos,20408,14248,1616416994.363928,Mon Mar 22 13:43:14 2021
agentless,DAVIDECASTELLAN,1616416994,Inizialized CSV files,20408,14248,1616416994.435157,Mon Mar 22 13:43:14 2021
agentless,DAVIDECASTELLAN,1616416994,Ping 192.168.1.1,20408,13076,1616416995.583821,Mon Mar 22 13:43:15 2021
agentless,DAVIDECASTELLAN,1616416994,Ping 192.168.1.0,20408,25280,1616416995.568798,Mon Mar 22 13:43:15 2021
agentless,DAVIDECASTELLAN,1616416994,Pinged all,20408,14248,1616416995.860728,Mon Mar 22 13:43:15 2021
agentless,DAVIDECASTELLAN,1616416994,Salved data on the csv,20408,14248,1616416995.889649,Mon Mar 22 13:43:15 2021
agentless,DAVIDECASTELLAN,1616417018,Created log,28852,20428,1616417018.032198,Mon Mar 22 13:43:38 2021
agentless,DAVIDECASTELLAN,1616417018,Headers inizialized,28852,20428,1616417018.035182,Mon Mar 22 13:43:38 2021
agentless,DAVIDECASTELLAN,1616417018,Defined CSV files' infos,28852,20428,1616417018.073881,Mon Mar 22 13:43:38 2021
agentless,DAVIDECASTELLAN,1616417018,Inizialized CSV files,28852,20428,1616417018.09971,Mon Mar 22 13:43:38 2021
agentless,DAVIDECASTELLAN,1616417018,Ping 192.168.1.1,28852,2216,1616417021.090066,Mon Mar 22 13:43:41 2021
agentless,DAVIDECASTELLAN,1616417018,Ping 192.168.1.0,28852,24008,1616417021.121347,Mon Mar 22 13:43:41 2021
agentless,DAVIDECASTELLAN,1616417018,Pinged all,28852,20428,1616417021.385443,Mon Mar 22 13:43:41 2021
agentless,DAVIDECASTELLAN,1616417018,Salved data on the csv,28852,20428,1616417021.403793,Mon Mar 22 13:43:41 2021
agentless,DAVIDECASTELLAN,1616417018,Failed the DB insert,28852,20428,1616417021.41977,Mon Mar 22 13:43:41 2021
agentless,DAVIDECASTELLAN,1616417994,Created log,27676,11388,1616417994.78065,Mon Mar 22 13:59:54 2021
agentless,DAVIDECASTELLAN,1616417994,Headers inizialized,27676,11388,1616417994.782603,Mon Mar 22 13:59:54 2021
agentless,DAVIDECASTELLAN,1616417994,Ping 192.168.1.0,27676,27620,1616417996.066203,Mon Mar 22 13:59:56 2021
agentless,DAVIDECASTELLAN,1616417994,Ping 192.168.1.1,27676,15108,1616417996.050246,Mon Mar 22 13:59:56 2021
agentless,DAVIDECASTELLAN,1616417994,Pinged all,27676,11388,1616417996.359172,Mon Mar 22 13:59:56 2021
agentless,DAVIDECASTELLAN,1616417999,Created log,8212,16168,1616417999.955345,Mon Mar 22 13:59:59 2021
agentless,DAVIDECASTELLAN,1616417999,Defined CSV files' infos,8212,16168,1616417999.96033,Mon Mar 22 13:59:59 2021
agentless,DAVIDECASTELLAN,1616417999,Headers inizialized,8212,16168,1616417999.959336,Mon Mar 22 13:59:59 2021
agentless,DAVIDECASTELLAN,1616417999,Inizialized CSV files,8212,16168,1616418000.044986,Mon Mar 22 14:00:00 2021
agentless,DAVIDECASTELLAN,1616417999,Ping 192.168.1.0,8212,28952,1616418003.103783,Mon Mar 22 14:00:03 2021
agentless,DAVIDECASTELLAN,1616417999,Ping 192.168.1.1,8212,21860,1616418003.1197,Mon Mar 22 14:00:03 2021
agentless,DAVIDECASTELLAN,1616417999,Pinged all,8212,16168,1616418003.38766,Mon Mar 22 14:00:03 2021
agentless,DAVIDECASTELLAN,1616417999,Salved data on the csv,8212,16168,1616418003.412183,Mon Mar 22 14:00:03 2021
agentless,DAVIDECASTELLAN,1616417999,"By DB: {""error"":""Table 'aaa' does not exist in schema 'dev'""}",8212,16168,1616418004.157835,Mon Mar 22 14:00:04 2021
agentless,DAVIDECASTELLAN,1616418031,Created log,10160,18012,1616418031.674076,Mon Mar 22 14:00:31 2021
agentless,DAVIDECASTELLAN,1616418031,Defined CSV files' infos,10160,18012,1616418031.677008,Mon Mar 22 14:00:31 2021
agentless,DAVIDECASTELLAN,1616418031,Headers inizialized,10160,18012,1616418031.677008,Mon Mar 22 14:00:31 2021
agentless,DAVIDECASTELLAN,1616418031,Inizialized CSV files,10160,18012,1616418031.75222,Mon Mar 22 14:00:31 2021
agentless,DAVIDECASTELLAN,1616418031,Ping 192.168.1.1,10160,940,1616418034.578227,Mon Mar 22 14:00:34 2021
agentless,DAVIDECASTELLAN,1616418031,Ping 192.168.1.0,10160,27840,1616418034.594223,Mon Mar 22 14:00:34 2021
agentless,DAVIDECASTELLAN,1616418031,Pinged all,10160,18012,1616418034.824487,Mon Mar 22 14:00:34 2021
agentless,DAVIDECASTELLAN,1616418031,Salved data on the csv,10160,18012,1616418034.844907,Mon Mar 22 14:00:34 2021
agentless,DAVIDECASTELLAN,1616418031,"By DB: {""message"":""inserted 2 of 2 records"",""inserted_hashes"":[""a724ec62-bbe1-4850-9961-8dd55c3c8b93"",""b563f08d-37f3-4651-b26d-fe494dfd5825""],""skipped_hashes"":[]}",10160,18012,1616418035.620231,Mon Mar 22 14:00:35 2021
agentless,DAVIDECASTELLAN,1616418052,Created log,27484,28532,1616418052.143006,Mon Mar 22 14:00:52 2021
agentless,DAVIDECASTELLAN,1616418052,Headers inizialized,27484,28532,1616418052.146,Mon Mar 22 14:00:52 2021
agentless,DAVIDECASTELLAN,1616418052,Defined CSV files' infos,27484,28532,1616418052.147995,Mon Mar 22 14:00:52 2021
agentless,DAVIDECASTELLAN,1616418052,Inizialized CSV files,27484,28532,1616418052.211616,Mon Mar 22 14:00:52 2021
agentless,DAVIDECASTELLAN,1616418052,Ping 192.168.1.67,27484,22028,1616418052.273696,Mon Mar 22 14:00:52 2021
agentless,DAVIDECASTELLAN,1616418052,Ping 192.168.1.62,27484,15208,1616418052.303618,Mon Mar 22 14:00:52 2021
agentless,DAVIDECASTELLAN,1616418052,Ping 192.168.1.69,27484,23700,1616418052.306608,Mon Mar 22 14:00:52 2021
agentless,DAVIDECASTELLAN,1616418052,Ping 192.168.1.72,27484,24116,1616418052.35806,Mon Mar 22 14:00:52 2021
agentless,DAVIDECASTELLAN,1616418052,Ping 192.168.1.92,27484,25664,1616418052.403526,Mon Mar 22 14:00:52 2021
agentless,DAVIDECASTELLAN,1616418052,Ping 192.168.1.128,27484,22824,1616418052.44823,Mon Mar 22 14:00:52 2021
agentless,DAVIDECASTELLAN,1616418052,Ping 192.168.1.100,27484,1748,1616418052.471958,Mon Mar 22 14:00:52 2021
agentless,DAVIDECASTELLAN,1616418052,Ping 192.168.1.137,27484,8096,1616418052.472957,Mon Mar 22 14:00:52 2021
