istance,IP,port,active
1616517415,192.168.1.67,139,True
1616517415,192.168.1.67,445,True
1616517415,192.168.1.100,22,True
1616517415,192.168.1.100,80,True
1616517415,192.168.1.110,22,True
1616517415,192.168.1.110,80,True
1616517415,192.168.1.143,139,True
1616517415,192.168.1.143,445,True
1616517415,192.168.1.204,80,True
1616517415,192.168.1.204,139,True
1616517415,192.168.1.204,445,True
1616517415,192.168.1.206,22,True
1616517415,192.168.1.222,445,True
1616517415,192.168.1.222,139,True
1616517416,192.168.1.254,80,True
1616517416,192.168.1.254,8080,True
1616517416,192.168.1.254,445,True
1616517416,192.168.1.254,139,True
1616517415,192.168.1.227,8080,True
1616517415,192.168.1.72,139,True
1616517415,192.168.1.72,445,True
1616517415,192.168.1.72,80,True
1616517415,192.168.1.67,1433,False
1616517415,192.168.1.67,80,False
1616517415,192.168.1.67,23,False
1616517415,192.168.1.67,110,False
1616517415,192.168.1.67,8080,False
1616517415,192.168.1.67,3389,False
1616517415,192.168.1.67,21,False
1616517415,192.168.1.67,389,False
1616517415,192.168.1.67,22,False
1616517415,192.168.1.67,443,False
1616517415,192.168.1.100,389,False
1616517415,192.168.1.100,1433,False
1616517415,192.168.1.100,21,False
1616517415,192.168.1.110,139,False
1616517415,192.168.1.110,389,False
1616517415,192.168.1.100,443,False
1616517415,192.168.1.110,110,False
1616517415,192.168.1.110,443,False
1616517415,192.168.1.100,139,False
1616517415,192.168.1.110,445,False
1616517415,192.168.1.100,23,False
1616517415,192.168.1.110,21,False
1616517415,192.168.1.100,8080,False
1616517415,192.168.1.110,3389,False
1616517415,192.168.1.110,8080,False
1616517415,192.168.1.100,110,False
1616517415,192.168.1.100,3389,False
1616517415,192.168.1.100,445,False
1616517415,192.168.1.110,23,False
1616517415,192.168.1.110,1433,False
1616517415,192.168.1.66,23,False
1616517415,192.168.1.66,3389,False
1616517415,192.168.1.66,1433,False
1616517415,192.168.1.210,445,False
1616517415,192.168.1.210,23,False
1616517415,192.168.1.66,80,False
1616517415,192.168.1.210,110,False
1616517415,192.168.1.66,21,False
1616517415,192.168.1.66,389,False
1616517415,192.168.1.210,80,False
1616517415,192.168.1.210,22,False
1616517415,192.168.1.210,1433,False
1616517415,192.168.1.66,8080,False
1616517415,192.168.1.210,3389,False
1616517415,192.168.1.210,8080,False
1616517415,192.168.1.66,110,False
1616517415,192.168.1.66,443,False
1616517415,192.168.1.66,22,False
1616517415,192.168.1.210,389,False
1616517415,192.168.1.206,110,False
1616517415,192.168.1.206,443,False
1616517415,192.168.1.206,80,False
1616517415,192.168.1.66,139,False
1616517415,192.168.1.206,445,False
1616517415,192.168.1.210,21,False
1616517415,192.168.1.206,8080,False
1616517415,192.168.1.210,443,False
1616517415,192.168.1.66,445,False
1616517415,192.168.1.210,139,False
1616517415,192.168.1.206,389,False
1616517415,192.168.1.206,3389,False
1616517415,192.168.1.206,23,False
1616517415,192.168.1.206,139,False
1616517416,192.168.1.254,22,False
1616517415,192.168.1.206,21,False
1616517416,192.168.1.254,389,False
